blknr,bez,bezname,plr,blktypname,ewk,area,datum,fid,verbrauch_,ausgeschlo,verbrauc_1,ausgesch_1,verbrauc_2,ausgesch_2,fid_2,schl5,ew2021,flalle,ew_ha_2021,typklar
"020037","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11607.428710937500000,1993/06/30 00:00:00.000,21,73.822000000000003,,80.596000000000004,,47.828000000000003,,28,"0700200371000000",669,11682.735806814600437,572.639999999999986,"Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020038","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10734.874023437500000,1993/06/30 00:00:00.000,22,782.158000000000015,,889.490999999999985,,831.304999999999950,,29,"0700200381000000",636,10677.334239141400758,595.649999999999977,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020039","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,13377.912109375000000,1993/06/30 00:00:00.000,23,2483.887999999999920,,2769.789000000000215,,2343.994000000000142,,30,"0700200391000000",586,13416.916874169199218,436.759999999999991,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020040","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,8999.685546875000000,1993/11/10 00:00:00.000,24,2382.601999999999862,,2719.693000000000211,,2249.041999999999916,,31,"0700200401000000",465,8382.852512036070038,554.700000000000045,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020041","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,9360.779296875000000,1993/11/10 00:00:00.000,25,1562.320999999999913,,1747.932000000000016,,1609.188000000000102,,32,"0700200411000000",482,9503.084695308119990,507.199999999999989,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020042","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,17651.447265625000000,1993/07/01 00:00:00.000,26,3623.014999999999873,,4322.805000000000291,,3629.244000000000142,,33,"0700200421000000",925,16859.301102186898788,548.659999999999968,"Dichte Blockbebauung, geschlossener Hinterhof (1870er - 1918), 5 - 6-geschossig"
"020043","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,15406.279296875000000,1993/07/01 00:00:00.000,27,3314.817000000000007,,3976.070999999999913,,3443.750000000000000,,34,"0700200431000000",625,15212.590554150698154,410.839999999999975,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020044","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11569.536132812501819,1993/07/01 00:00:00.000,28,2978.505000000000109,,3125.460000000000036,,2823.442000000000007,,35,"0700200441000000",684,11807.498453341200729,579.289999999999964,"Dichte Blockbebauung, geschlossener Hinterhof (1870er - 1918), 5 - 6-geschossig"
"020045","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10011.813476562500000,1993/06/30 00:00:00.000,29,508.709000000000003,,591.024000000000001,,523.573999999999955,,36,"0700200451000000",437,10028.711721285799285,435.750000000000000,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020050","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,7815.945312500000000,1994/06/01 00:00:00.000,30,1185.913999999999987,,1317.958000000000084,,1281.115999999999985,,37,"0700200501000000",514,7766.673941830349577,661.799999999999955,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
