fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid,id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i
919,,,,,"6",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YCM,1510,UUID_de2e9a29-64e3-48aa-87f0-641b23bc60b7,,,,,2024/02/05 04:16:19.637,,,,2024/02/05 04:16:19.637,citydb_user,,,1498
920,,,,,,,,"9999",Sonstiges,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Yj4,,,,,,,,,,,,,,,
921,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004044180003","4200",Aus Katasterkarten digitalisiert,"04418",Tauroggener Straße 3,"3",,,AX_Gebaeude,DEBE04YY50000AJb,1714,UUID_aed5ff1b-b684-4c86-a8b0-ff882d79b575,,,,,2024/02/05 04:16:19.970,,,,2024/02/05 04:16:19.970,citydb_user,,,1696
922,,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY14h0005J,,,,,,,,,,,,,,,
923,"2142",Speichergebäude,,,"1",,,,,,,,,,"11000004002520005","4200",Aus Katasterkarten digitalisiert,"00252",Am Spreebord,,"5","30",AX_Gebaeude,DEBE04YY50000OXX,386,UUID_296a2d44-6d4c-4391-8914-0949beb44fd2,,,,,2024/02/05 04:16:17.456,,,,2024/02/05 04:16:17.456,citydb_user,,,378
924,"3065","Kinderkrippe, Kindergarten, Kindertagesstätte",,,"1",,,,,Kindertagesstätte und Jugendclub,,,,,"11000004033120040","4200",Aus Katasterkarten digitalisiert,"03312",Olbersstraße 40,"40",,,AX_Gebaeude,DEBE04YY500001Fz,,,,,,,,,,,,,,,
925,"2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"3",,,,,,,,,,"11000004014840019","4200",Aus Katasterkarten digitalisiert,"01484",Gaußstraße 17,"17",,,AX_Gebaeude,DEBE04YY50000LMs,3282,DEB_LOD2_UUID_feae6fcb-41c8-4b6b-8701-ad7b270ab736_a48dc9fb-a31f-45cd-a257-4b05d63d2343,,,,,2024/02/05 04:16:22.040,,,,2024/02/05 04:16:22.040,citydb_user,,,3269
926,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000CFi,749,UUID_8a3e8ede-fb2f-4094-a419-619db8c72947,,,,,2024/02/05 04:16:18.050,,,,2024/02/05 04:16:18.050,citydb_user,,,737
927,"2120",Werkstatt,,,"2",,,,,,,,,,"11000004002520005","4200",Aus Katasterkarten digitalisiert,"00252",Am Spreebord,,"5","10",AX_Gebaeude,DEBE04YY50000I1y,1279,UUID_e534ff95-da20-43e2-96e8-55c38a12ea18,,,,,2024/02/05 04:16:19.258,,,,2024/02/05 04:16:19.258,citydb_user,,,1267
928,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000JT8,4365,DEB_LOD2_UUID_f158a36b-509b-4b38-96f6-8862321dae88_04c06d29-e616-403d-b96e-0e1a2463242e,,,,,2024/02/05 04:16:23.827,,,,2024/02/05 04:16:23.827,citydb_user,,,3310
