fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid,id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i
1,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000JY3,721,UUID_3dafb1af-fdf1-4b44-b4fd-8e776e45f3b3,,,,,2024/02/05 04:16:18.012,,,,2024/02/05 04:16:18.012,citydb_user,,,716
2,,,,,"4",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE00YYJJ00002T,4365,DEB_LOD2_UUID_f158a36b-509b-4b38-96f6-8862321dae88_04c06d29-e616-403d-b96e-0e1a2463242e,,,,,2024/02/05 04:16:23.827,,,,2024/02/05 04:16:23.827,citydb_user,,,3310
3,,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000KNY,,,,,,,,,,,,,,,
4,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004032660024","4200",Aus Katasterkarten digitalisiert,"03266, 04202","Nordhauser Straße 24; Sömmeringstraße 33",,,,AX_Gebaeude,DEBE04YY500004G4,1373,UUID_38132779-2468-4703-aa38-fac9ca51b496,,,,,2024/02/05 04:16:19.467,,,,2024/02/05 04:16:19.467,citydb_user,,,1366
5,"1010",Wohnhaus,,,"7",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004042020022","4200",Aus Katasterkarten digitalisiert,"04202",Sömmeringstraße 22,"22",,,AX_Gebaeude,DEBE04YY500009XJ,2612,DEB_LOD2_UUID_6cd38137-852c-410a-973f-57239a703735_c151302b-a277-4ba7-8286-942a0778ab1c,,,,,2024/02/05 04:16:21.513,,,,2024/02/05 04:16:21.513,citydb_user,,,2597
6,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Fwy,,,,,,,,,,,,,,,
7,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY14h0005M,,,,,,,,,,,,,,,
8,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004022890046","4200",Aus Katasterkarten digitalisiert,"02289",Kaiserin-Augusta-Allee 46,"46",,,AX_Gebaeude,DEBE04YY500009BM,773,UUID_3ee7b6e8-2205-45f0-89a4-b883f1d49413,,,,,2024/02/05 04:16:18.074,,,,2024/02/05 04:16:18.074,citydb_user,,,769
9,,,,,"8",,,"1300",Hochhausgebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Ddt,,,,,,,,,,,,,,,
10,"1010",Wohnhaus,,,"7",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004033440002","4200",Aus Katasterkarten digitalisiert,"03344",Osnabrücker Straße 2,"2",,,AX_Gebaeude,DEBE04YY50000Gm5,614,UUID_6ddfb092-15fe-4e20-8dc7-d9ebc27ab8ae,,,,,2024/02/05 04:16:17.856,,,,2024/02/05 04:16:17.856,citydb_user,,,582
11,,,,,"7",,,"2400",Arkade,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000PTT,,,,,,,,,,,,,,,
12,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY5000044l,,,,,,,,,,,,,,,
13,,,,,"7",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Lbv,,,,,,,,,,,,,,,
14,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000DeV,1635,UUID_61480af1-c2c5-4908-b339-3bcb0d2b9106,,,,,2024/02/05 04:16:19.881,,,,2024/02/05 04:16:19.881,citydb_user,,,1627
15,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000NnK,,,,,,,,,,,,,,,
16,"2523",Umformer,,,"1",,,,,,,,,,"11000004029560002","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"2","1",AX_Gebaeude,DEBE04YY50000Rbf,,,,,,,,,,,,,,,
17,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04AL2Wf00001,,,,,,,,,,,,,,,
18,,,,,"9",,,"1300",Hochhausgebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Ivr,,,,,,,,,,,,,,,
19,,,,,"7",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Yjq,1510,UUID_de2e9a29-64e3-48aa-87f0-641b23bc60b7,,,,,2024/02/05 04:16:19.637,,,,2024/02/05 04:16:19.637,citydb_user,,,1498
20,"2120",Werkstatt,,,"1",,,,,,,,,,"11000004021430030","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße,,"30","3",AX_Gebaeude,DEBE04YY50000Pzz,1252,UUID_07901ccd-8d38-408e-b2bc-ec814c02930f,,,,,2024/02/05 04:16:19.201,,,,2024/02/05 04:16:19.201,citydb_user,,,1245
21,,,,,"18",,,"1300",Hochhausgebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Nd2,,,,,,,,,,,,,,,
22,,,,,"3",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000BW3,4422,DEB_LOD2_UUID_712d0715-3b98-4046-8060-35ca8a6af9e1_159fe9ed-fa7d-4b00-ab78-d6e8ca777d94,,,,,2024/02/05 04:16:23.934,,,,2024/02/05 04:16:23.934,citydb_user,,,3379
23,"2460",Gebäude zum Parken,,,"1",,,,,,,,,,"11000004044180036","4200",Aus Katasterkarten digitalisiert,"04418",Tauroggener Straße,,"36","1",AX_Gebaeude,DEBE04YY50000A3t,643,UUID_5cdc7321-2cd1-497b-a54b-0298ad2f73a6,,,,,2024/02/05 04:16:17.890,,,,2024/02/05 04:16:17.890,citydb_user,,,634
24,"2000",Gebäude für Wirtschaft oder Gewerbe,,,"2",,,,,,,,,,"11000004016320049","4200",Aus Katasterkarten digitalisiert,"01632",Goslarer Ufer 49,"49",,,AX_Gebaeude,DEBE04YY50000BfJ,3077,DEB_LOD2_UUID_85a2c113-1bbd-43db-b33e-74046e03f6fa_fff91df5-66df-4e3c-a990-c0f9918d2750,,,,,2024/02/05 04:16:21.856,,,,2024/02/05 04:16:21.856,citydb_user,,,2894
25,"2460",Gebäude zum Parken,,,"1",,,,,,,,,,"11000004021430015","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße,,"15","2",AX_Gebaeude,DEBE04YY500006xH,830,UUID_5db72306-dc5d-4e98-ab66-b8ee7d47abeb,,,,,2024/02/05 04:16:18.142,,,,2024/02/05 04:16:18.142,citydb_user,,,795
26,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500002Bw,4365,DEB_LOD2_UUID_f158a36b-509b-4b38-96f6-8862321dae88_04c06d29-e616-403d-b96e-0e1a2463242e,,,,,2024/02/05 04:16:23.827,,,,2024/02/05 04:16:23.827,citydb_user,,,3310
27,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004030810023","4200",Aus Katasterkarten digitalisiert,"03081, 04418","Mindener Straße 23; Tauroggener Straße 9",,,,AX_Gebaeude,DEBE04YY500004IA,,,,,,,,,,,,,,,
28,"2054",Laden,,,"2",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"01484",Gaußstraße 7A,7A,,,AX_Gebaeude,DEBE04AL54V00003,2885,DEB_LOD2_UUID_a227132f-3188-41e9-8478-40461ae4c971_0da2fd6a-9b20-42d0-a431-75cdd13cbb97,,,,,2024/02/05 04:16:21.704,,,,2024/02/05 04:16:21.704,citydb_user,,,2873
29,"3010",Verwaltungsgebäude,,,"1",,,,,,,,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 50,"50",,,AX_Gebaeude,DEBE04YY50000DNe,,,,,,,,,,,,,,,
30,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004044240100","4200",Aus Katasterkarten digitalisiert,"04424",Tegeler Weg 100,"100",,,AX_Gebaeude,DEBE04YY50000MFN,1722,UUID_0f30927e-3882-4e0f-b189-d5b6774abefa,,,,,2024/02/05 04:16:19.977,,,,2024/02/05 04:16:19.977,citydb_user,,,1715
31,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004032660003","4200",Aus Katasterkarten digitalisiert,"03266",Nordhauser Straße 3,"3",,,AX_Gebaeude,DEBE04YY50000AW4,640,UUID_c3b78edb-d1c2-473e-bc48-2c1c993c063d,,,,,2024/02/05 04:16:17.891,,,,2024/02/05 04:16:17.891,citydb_user,,,616
32,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500001oa,2081,UUID_c37d3482-289b-4a59-93d5-00ccc12f8621,,,,,2024/02/05 04:16:20.702,,,,2024/02/05 04:16:20.702,citydb_user,,,2076
33,,,,,"1",,,"2510",Auskragende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04AL5dQ00000,,,,,,,,,,,,,,,
34,"2612",Toilette,,,"1",,,,,,,,,,"11000004002520005","4200",Aus Katasterkarten digitalisiert,"00252",Am Spreebord,,"5","21",AX_Gebaeude,DEBE04YY50000GVc,880,UUID_011d81bc-03c6-4ae2-ae82-c424fb29b316,,,,,2024/02/05 04:16:18.217,,,,2024/02/05 04:16:18.217,citydb_user,,,861
35,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004023140012","4200",Aus Katasterkarten digitalisiert,"02314",Kamminer Straße 12,"12",,,AX_Gebaeude,DEBE04YY500001tj,1908,UUID_25e5f707-dfb2-4462-8d4a-9161c9046bf5,,,,,2024/02/05 04:16:20.267,,,,2024/02/05 04:16:20.267,citydb_user,,,1887
36,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000FVM,640,UUID_c3b78edb-d1c2-473e-bc48-2c1c993c063d,,,,,2024/02/05 04:16:17.891,,,,2024/02/05 04:16:17.891,citydb_user,,,616
37,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004042020016","4200",Aus Katasterkarten digitalisiert,"04202",Sömmeringstraße 16,"16",,,AX_Gebaeude,DEBE04YY50000Pv4,2213,DEB_LOD2_UUID_1399c232-0508-4c91-8487-edd1381e48fc_0ed40979-4e26-4277-a44f-8a81275cb51a,,,,,2024/02/05 04:16:21.156,,,,2024/02/05 04:16:21.156,citydb_user,,,2151
38,,,,,"4",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Pnx,,,,,,,,,,,,,,,
39,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004033120010","4200",Aus Katasterkarten digitalisiert,"03312",Olbersstraße 10,"10",,,AX_Gebaeude,DEBE04YY50000OO9,1924,UUID_714053f0-a737-4093-83bb-71ff940db831,,,,,2024/02/05 04:16:20.297,,,,2024/02/05 04:16:20.297,citydb_user,,,1922
40,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004006530006","4200",Aus Katasterkarten digitalisiert,"00653",Bonhoefferufer 6,"6",,,AX_Gebaeude,DEBE04YY500003Mn,1669,UUID_c12953d4-b6d2-4880-80c9-3dfbaee5ea34,,,,,2024/02/05 04:16:19.924,,,,2024/02/05 04:16:19.924,citydb_user,,,1645
41,,,,,"1",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000AKp,,,,,,,,,,,,,,,
42,,,,,"4",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000REf,,,,,,,,,,,,,,,
43,,,,,"1",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500005x7,,,,,,,,,,,,,,,
44,"2100",Gebäude für Gewerbe und Industrie,,,"3",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"05134",Lise-Meitner-Straße,,"45","3",AX_Gebaeude,DEBE00YY1ic0006m,,,,,,,,,,,,,,,
45,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000E5P,1397,UUID_af71ad86-c132-46eb-a2a7-01f78ec1f25f,,,,,2024/02/05 04:16:19.496,,,,2024/02/05 04:16:19.496,citydb_user,,,1368
46,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004070800016","4200",Aus Katasterkarten digitalisiert,"07080, 04202","Mierendorffplatz 16; Sömmeringstraße 41",,,,AX_Gebaeude,DEBE04YY50000OgZ,749,UUID_8a3e8ede-fb2f-4094-a419-619db8c72947,,,,,2024/02/05 04:16:18.050,,,,2024/02/05 04:16:18.050,citydb_user,,,737
47,"2142",Speichergebäude,,,"1",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","2",AX_Gebaeude,DEBE04YY50000JJU,1005,UUID_ea6c26ec-546d-43df-b588-45c1c9c71d4c,,,,,2024/02/05 04:16:18.352,,,,2024/02/05 04:16:18.352,citydb_user,,,979
48,,,,,,,,"9999",Sonstiges,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YqM,,,,,,,,,,,,,,,
49,,,,,"3",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500003Pj,1012,UUID_e0529ba8-bfbd-4be3-8fdb-7320cf911f88,,,,,2024/02/05 04:16:18.356,,,,2024/02/05 04:16:18.356,citydb_user,,,992
50,,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00008,2365,DEB_LOD2_UUID_41a05bed-7244-4daf-81d1-5c8cd0132efa_2745a1ad-4b9a-46aa-9a09-a8b377eb0588,,,,,2024/02/05 04:16:21.314,,,,2024/02/05 04:16:21.314,citydb_user,,,2351
51,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000DFQ,1479,UUID_c21bb9fb-e6d4-48de-9fc3-efdefee8ec56,,,,,2024/02/05 04:16:19.598,,,,2024/02/05 04:16:19.598,citydb_user,,,1457
52,,,,,"7",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15p00037,1482,UUID_1fb7efe1-feda-4767-9786-7dc990ba48bd,,,,,2024/02/05 04:16:19.604,,,,2024/02/05 04:16:19.604,citydb_user,,,1463
53,,,,,,,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YKt,,,,,,,,,,,,,,,
54,,,,,"4",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000KXO,1373,UUID_38132779-2468-4703-aa38-fac9ca51b496,,,,,2024/02/05 04:16:19.467,,,,2024/02/05 04:16:19.467,citydb_user,,,1366
55,"2142",Speichergebäude,,,"1",,,,,,,,,,"11000004002520005","4200",Aus Katasterkarten digitalisiert,"00252",Am Spreebord,,"5","18",AX_Gebaeude,DEBE04YY50000QQy,1279,UUID_e534ff95-da20-43e2-96e8-55c38a12ea18,,,,,2024/02/05 04:16:19.258,,,,2024/02/05 04:16:19.258,citydb_user,,,1267
56,"1010",Wohnhaus,,,"7",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004042020010","4200",Aus Katasterkarten digitalisiert,"04202",Sömmeringstraße 10,"10",,,AX_Gebaeude,DEBE04YY50000PMr,3273,DEB_LOD2_UUID_efd3a472-f782-4331-a9cf-39bf685d4578_9c6db35c-d292-4f9c-b86e-3054081cbe81,,,,,2024/02/05 04:16:22.024,,,,2024/02/05 04:16:22.024,citydb_user,,,3246
57,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY1R50006w,1164,UUID_bad7fc66-c9f4-4b7b-94b6-c9cc65fe9246,,,,,2024/02/05 04:16:18.706,,,,2024/02/05 04:16:18.706,citydb_user,,,1157
58,"2083",Kantine,,,"1",,,,,,,,,,"11000004021430020","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße,,"20","1",AX_Gebaeude,DEBE04YY50000MzR,1244,UUID_20a6842a-2494-4318-a572-139eac124db7,,,,,2024/02/05 04:16:19.189,,,,2024/02/05 04:16:19.189,citydb_user,,,1241
59,,,,,"7",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500007nN,,,,,,,,,,,,,,,
60,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004032660010","4200",Aus Katasterkarten digitalisiert,"03266",Nordhauser Straße 10,"10",,,AX_Gebaeude,DEBE04YY50000OtW,977,UUID_f69752ac-ddf0-4835-a880-0cc0ff2c757b,,,,,2024/02/05 04:16:18.318,,,,2024/02/05 04:16:18.318,citydb_user,,,952
61,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004030740006","4200",Aus Katasterkarten digitalisiert,"03074",Mierendorffstraße 6,"6",,,AX_Gebaeude,DEBE04YY500006oB,531,UUID_8a4f7298-3ff1-4eff-965a-420166ae37f1,,,,,2024/02/05 04:16:17.703,,,,2024/02/05 04:16:17.703,citydb_user,,,515
62,"2120",Werkstatt,,,"1",,,,,,,,,,"11000004021430030","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße,,"30","2",AX_Gebaeude,DEBE04YY500009p6,1263,UUID_55c1a9f8-fe8c-427c-8cfb-43cc6d1a2402,,,,,2024/02/05 04:16:19.237,,,,2024/02/05 04:16:19.237,citydb_user,,,1258
63,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500001vB,946,UUID_43458446-da96-4167-97a6-800d539aa382,,,,,2024/02/05 04:16:18.287,,,,2024/02/05 04:16:18.287,citydb_user,,,941
64,"2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"1",,,,,,,,,,"11000004016320041","4200",Aus Katasterkarten digitalisiert,"01632",Goslarer Ufer,,"41","7",AX_Gebaeude,DEBE04YY500003sF,873,UUID_5f3bb62a-c451-4a8a-89d8-84d313bf0fa3,,,,,2024/02/05 04:16:18.206,,,,2024/02/05 04:16:18.206,citydb_user,,,843
65,,,,,"6",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500004UW,,,,,,,,,,,,,,,
66,"2310",Gebäude für Handel und Dienstleistung mit Wohnen,,,"3",,,,,,,,,,"11000004016320025","4200",Aus Katasterkarten digitalisiert,"01632","Goslarer Ufer 25, 27",,,,AX_Gebaeude,DEBE04YY500009KN,1167,UUID_cab76853-1da3-4ecc-b2b0-bde7237bfbd0,,,,,2024/02/05 04:16:18.751,,,,2024/02/05 04:16:18.751,citydb_user,,,1159
67,"3023","Hochschulgebäude (Fachhochschule, Universität)",,,"4",,,,,Universität der Künste Berlin,,,,,"11000004030740030","4200",Aus Katasterkarten digitalisiert,"03074",Mierendorffstraße 30,"30",,,AX_Gebaeude,DEBE04YY500004DN,1403,UUID_55950578-d50d-40fc-a9cd-038905d1dd1c,,,,,2024/02/05 04:16:19.510,,,,2024/02/05 04:16:19.510,citydb_user,,,1375
68,"2142",Speichergebäude,,,"2",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","3",AX_Gebaeude,DEBE04YY500003H4,971,UUID_190b66e5-9280-4a50-bf04-9d531af6a6c3,,,,,2024/02/05 04:16:18.312,,,,2024/02/05 04:16:18.312,citydb_user,,,950
69,,,,,,,,"9999",Sonstiges,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YOp,,,,,,,,,,,,,,,
70,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Eg2,1249,UUID_d5693a29-8f46-48e2-806b-3804e0543d1a,,,,,2024/02/05 04:16:19.198,,,,2024/02/05 04:16:19.198,citydb_user,,,1226
71,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04ALk800000Q,,,,,,,,,,,,,,,
72,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000LO3,,,,,,,,,,,,,,,
73,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004032660002","4200",Aus Katasterkarten digitalisiert,"03266",Nordhauser Straße 2,"2",,,AX_Gebaeude,DEBE04YY500003vv,637,UUID_d8c15b66-9df6-4d0b-a263-fe7c6ab94839,,,,,2024/02/05 04:16:17.884,,,,2024/02/05 04:16:17.884,citydb_user,,,615
74,,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YZZ,,,,,,,,,,,,,,,
75,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004012190004","4200",Aus Katasterkarten digitalisiert,"01219, 01969, 02314","Fabriciusstraße 4, 6, 8, 10, 12; Herschelstraße 10, 11, 11A; Kamminer Straße 22, 21A; Olbersstraße 22",,,,AX_Gebaeude,DEBE04YY50000CDP,,,,,,,,,,,,,,,
76,,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY1Tj0002Y,,,,,,,,,,,,,,,
77,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004006530018","4200",Aus Katasterkarten digitalisiert,"00653, 04424","Bonhoefferufer 18; Tegeler Weg 97",,,,AX_Gebaeude,DEBE04YY50000FQS,1769,UUID_4d52a24f-0f75-412e-a6ea-341b1cc0de8a,,,,,2024/02/05 04:16:20.035,,,,2024/02/05 04:16:20.035,citydb_user,,,1737
78,"2050",Geschäftsgebäude,,,"4",,,,,,,,,,"11000004009260002","4200",Aus Katasterkarten digitalisiert,"00926",Darwinstraße 2,"2",,,AX_Gebaeude,DEBE04YY50000OPd,1117,UUID_319e5084-b40d-49c0-b434-6dee5f9a9067,,,,,2024/02/05 04:16:18.501,,,,2024/02/05 04:16:18.501,citydb_user,,,1089
79,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000HnZ,,,,,,,,,,,,,,,
80,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY5000055Z,2774,DEB_LOD2_UUID_6995a9ba-b064-489e-8a23-03d0b9380210_28ee68d7-9d63-458a-b7bf-2481d918abc0,,,,,2024/02/05 04:16:21.627,,,,2024/02/05 04:16:21.627,citydb_user,,,2528
81,"2460",Gebäude zum Parken,,,"1",,,,,,,,,,"11000004033440005","4200",Aus Katasterkarten digitalisiert,"03344",Osnabrücker Straße,,"5","1",AX_Gebaeude,DEBE04YY5000065F,662,UUID_260100b6-1cd5-4a7a-a78d-86cb4a54dd49,,,,,2024/02/05 04:16:17.923,,,,2024/02/05 04:16:17.923,citydb_user,,,635
82,,,,,"4",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YrE,4365,DEB_LOD2_UUID_f158a36b-509b-4b38-96f6-8862321dae88_04c06d29-e616-403d-b96e-0e1a2463242e,,,,,2024/02/05 04:16:23.827,,,,2024/02/05 04:16:23.827,citydb_user,,,3310
83,,,,,,,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YmO,1339,UUID_e8ab6ba1-6bff-462e-9ada-a37037142368,,,,,2024/02/05 04:16:19.402,,,,2024/02/05 04:16:19.402,citydb_user,,,1334
84,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Fv7,880,UUID_011d81bc-03c6-4ae2-ae82-c424fb29b316,,,,,2024/02/05 04:16:18.217,,,,2024/02/05 04:16:18.217,citydb_user,,,861
85,"2621",Müllbunker,,,"1",,,,,,,,,,"11000004033120045","4200",Aus Katasterkarten digitalisiert,"03312",Olbersstraße,,"45","1",AX_Gebaeude,DEBE04YY500001oc,739,UUID_1829fca3-35a7-419a-baf1-453ceb0d6249,,,,,2024/02/05 04:16:18.035,,,,2024/02/05 04:16:18.035,citydb_user,,,718
86,,,,,,,,"2610",Durchfahrt im Gebäude,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YR6,973,UUID_3ca74c8f-9308-463d-8a9d-0f71d4c3ddd3,,,,,2024/02/05 04:16:18.316,,,,2024/02/05 04:16:18.316,citydb_user,,,944
87,,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500003Ep,2037,UUID_e920bc81-99c9-483e-b6f6-f984e386e677,,,,,2024/02/05 04:16:20.459,,,,2024/02/05 04:16:20.459,citydb_user,,,2024
88,"2460",Gebäude zum Parken,,,"1",,,,,,,,,,"11000004006530005","4200",Aus Katasterkarten digitalisiert,"00653",Bonhoefferufer,,"5","1",AX_Gebaeude,DEBE04YY500004c9,3039,DEB_LOD2_UUID_a42b2ba7-13c5-4ac9-973a-1280552cb189_a7086c8f-f050-44f6-aefc-828ccff3de3f,,,,,2024/02/05 04:16:21.823,,,,2024/02/05 04:16:21.823,citydb_user,,,2937
89,,,,,,,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YI7,2636,DEB_LOD2_UUID_1666a78d-80da-45e6-b38f-cf9ef9027074_70c37b37-c349-42be-9f2e-595566f64776,,,,,2024/02/05 04:16:21.532,,,,2024/02/05 04:16:21.532,citydb_user,,,2155
90,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000CBv,1937,UUID_88a2462b-1616-4edd-9691-4e32849cd007,,,,,2024/02/05 04:16:20.308,,,,2024/02/05 04:16:20.308,citydb_user,,,1921
91,,,,,"3",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002YNK,2038,UUID_c32717cd-07af-4773-9cc7-e814c3f36d3c,,,,,2024/02/05 04:16:20.462,,,,2024/02/05 04:16:20.462,citydb_user,,,2025
