blknr,bez,bezname,plr,blktypname,ewk,area,datum,schl5,ew2022,flalle,ew_ha_2022,alter_u6,alter_6_u1,alter_10_u,alter_18_u,alter_65_u,alter_70_u,alter75_u8,alter_80pl,typklar
"020041","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,9360.779296875000000,1993/11/10 00:00:00.000,"0700200411000000","497",9503.084683999999470,522.990000000000009,"20","9","28","378","25","18","9","10","Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020042","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,17651.447265625000000,1993/07/01 00:00:00.000,"0700200421000000","945",16859.301102000001265,560.519999999999982,"41","27","43","720","39","33","26","16","Dichte Blockbebauung, geschlossener Hinterhof (1870er - 1918), 5 - 6-geschossig"
"020043","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,15406.279296875000000,1993/07/01 00:00:00.000,"0700200431000000","691",15212.597150999999940,454.230000000000018,"42","12","26","481","35","30","39","26","Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020044","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11569.536132812501819,1993/07/01 00:00:00.000,"0700200441000000","658",11807.498559999999998,557.269999999999982,"41","16","38","464","36","24","23","16","Dichte Blockbebauung, geschlossener Hinterhof (1870er - 1918), 5 - 6-geschossig"
"020045","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10011.813476562500000,1993/06/30 00:00:00.000,"0700200451000000","464",10028.711687999999413,462.670000000000016,"25","13","35","332","19","12","19","9","Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020050","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,7815.945312500000000,1994/06/01 00:00:00.000,"0700200501000000","503",7766.673942000000352,647.639999999999986,"25","21","31","350","20","26","12","18","Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020051","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,21565.632812500000000,1997/08/20 00:00:00.000,"0700200511000000","910",21614.298244000001432,421.019999999999982,"32","23","39","681","39","41","30","25","Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020052","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10858.265625000000000,1994/06/01 00:00:00.000,"0700200521000000","473",10842.298070999999254,436.250000000000000,"22","21","34","327","22","12","15","20","Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020053","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10324.307617187500000,1994/06/01 00:00:00.000,"0700200531000000","446",10386.845831000000544,429.389999999999986,"22","13","24","313","24","16","12","22","Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020054","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,8621.159179687500000,1994/06/01 00:00:00.000,"0700200541000000","0",8648.742904999999155,0.000000000000000,,,,,,,,,Park / Grünfläche
