blknr,bez,bezname,plr,blktypname,ewk,area,datum,schl5,ew2020,flalle,ew_ha_2020,typklar
"020042","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,17651.447265625000000,1993/07/01 00:00:00.000,"0700200421000000",963.000000000000000,16859.000000000000000,571.210000000000036,"Dichte Blockbebauung, geschlossener Hinterhof (1870er - 1918), 5 - 6-geschossig"
"020043","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,15406.279296875000000,1993/07/01 00:00:00.000,"0700200431000000",622.000000000000000,15213.000000000000000,408.860000000000014,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020044","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,11569.536132812501819,1993/07/01 00:00:00.000,"0700200441000000",707.000000000000000,11808.000000000000000,598.750000000000000,"Dichte Blockbebauung, geschlossener Hinterhof (1870er - 1918), 5 - 6-geschossig"
"020045","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,10011.813476562500000,1993/06/30 00:00:00.000,"0700200451000000",450.000000000000000,10029.000000000000000,448.699999999999989,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020050","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,7815.945312500000000,1994/06/01 00:00:00.000,"0700200501000000",491.000000000000000,7767.000000000000000,632.159999999999968,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020051","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,21565.632812500000000,1997/08/20 00:00:00.000,"0700200511000000",938.000000000000000,21614.000000000000000,433.980000000000018,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020052","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10858.265625000000000,1994/06/01 00:00:00.000,"0700200521000000",488.000000000000000,10842.000000000000000,450.100000000000023,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020053","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,10324.307617187500000,1994/06/01 00:00:00.000,"0700200531000000",469.000000000000000,10387.000000000000000,451.529999999999973,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020054","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,8621.159179687500000,1994/06/01 00:00:00.000,"0700200541000000",0.000000000000000,8649.000000000000000,0.000000000000000,Park / Grünfläche
"020055","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,77514.328125000014552,1994/11/24 00:00:00.000,"0700200551000100",473.000000000000000,31924.000000000000000,148.159999999999997,Neubau-Schule (Baujahr nach 1945)
