gml_building_function,gml_id,teaser_id,building_function_alkis,alkis_code
,,,"Berufsschule,Fachschule, Volkshochschule",1122
,,,Wohn- und Geschäftsgebäude,1123
,,,"Fachhochschule, Universität",1123
,,,Wohn- und Betriebsgebäude,1131
,,,"Schloss, Burg",1131
,,,Bauernhaus,1221
,,,Freistehender Wohnblock,1221
,,,Wohn- und Wirtschaftsgebäude,1222
,,,Forsthaus,1223
,,,Ferienhaus,1311
,,,Einzelhaus,1311
,,,Wochenendhaus,1312
,,,Gartenhaus,1313
,,,Kaufhaus,2051
,,,Einkaufszentrum,2052
,,,Markthalle,2053
,,,Laden,2054
,,,Kiosk,2055
,,,Apotheke,2056
,,,"Hotel, Motel, Pension",2071
,,,Jugendherberge,2072
,,,Hütte (mit Übernachtungsmöglichkeit),2073
,,,Campingplatzgebäude,2074
,,,"Gaststätte, Restaurant",2081
,,,Hütte (ohne Übernachtungsmöglichkeit),2082
,,,Kantine,2083
,,,Festsaal,2091
,,,Kino,2092
,,,"Kegel-, Bowlinghalle",2093
,,,Spielkasino,2094
,,,Fabrik,2111
,,,Betriebsgebäude,2112
,,,Brauerei,2113
,,,Brennerei,2114
,,,Sägewerk,2121
,,,Wohngebäude mit Handel und Dienstleistungen,2121
,,,"Waschstraße, Waschanlage, Waschhalle",2131
,,,Wohngebäude mit Gewerbe und Industrie,2131
,,,Kühlhaus,2141
,,,Öffentliches Gebäude mit Wohnungen,2141
,,,Speichergebäude,2142
,,,"Lagerhalle, Lagerschuppen, Lagerhaus",2143
,,,Bergwerk,2171
,,,Saline,2172
,,,Windmühle,2211
,,,Wassermühle,2212
,,,Schöpfwerk,2213
,,,Straßenmeisterei,2411
,,,Wartehalle,2412
,,,Bahnwärterhaus,2421
,,,"Lokschuppen, Wagenhalle",2422
,,,"Stellwerk, Blockstelle",2423
,,,Betriebsgebäude des Güterbahnhofs,2424
,,,Flugzeughalle,2431
,,,Werft (Halle),2441
,,,Dock (Halle),2442
,,,Betriebsgebäude zur Schleuse,2443
,,,Bootshaus,2444
,,,Spannwerk zur Drahtseilbahn,2451
,,,Parkhaus,2461
,,,Parkdeck,2462
,,,Garage,2463
,,,Fahrzeughalle,2464
,,,Tiefgarage,2465
,,,Gebäude zur Energieversorgung,2501
,,,Gebäude für Versorgung (allgemein),2501
,,,Wasserwerk,2511
,,,Wasserwerk,2511
,,,Pumpstation,2512
,,,Pumpwerk,2512
,,,Wasserbehälter,2513
,,,Elektrizitätswerk,2521
,,,Elektrizitätswerk,2521
,,,Umspannwerk,2522
,,,Umspannwerk,2522
,,,Umformer,2523
,,,"Umformer (soweit nicht in Folie 065/066, OS 3447)",2523
,,,Reaktorgebäude,2527
,,,Turbinenhaus,2528
,,,Gebäude für Elektrizitätsversorgung (allgemein),2528
,,,Kesselhaus,2529
,,,Gaswerk,2571
,,,Gaswerk,2571
,,,Pumpwerk (nicht für Wasserversorgung),2591
,,,Pumpwerk (nicht für Wasserversorgung),2591
,,,Gebäude der Kläranlage,2611
,,,Kläranlage,2611
,,,Toilette,2612
,,,Bedürfnisanstalt,2612
,,,Müllbunker,2621
,,,Abfall (Lagergebäude),2621
,,,Gebäude zur Müllverbrennung,2622
,,,Abfallverbrennungsanlage,2622
,,,Gebäude der Abfalldeponie,2623
,,,Betriebsgebäude einer Abfalldeponie,2623
,,,Land- und forstwirtschaftliches Betriebsgebäude,2720
,,,Scheune,2721
,,,Scheune,2721
,,,Schuppen,2723
,,,Schuppen,2723
,,,Stall,2724
,,,Stall,2724
,,,Scheune und Stall,2726
,,,Scheune und Stall,2726
,,,Stall für Tiergroßhaltung,2727
,,,Gebäude für Tiergroßhaltung,2727
,,,Reithalle,2728
,,,Landwirtschaftliches Betriebsgebäude (allgemein),2728
,,,Wirtschaftsgebäude,2729
,,,Almhütte,2732
,,,"Jagdhaus, Jagdhütte",2735
,,,"Treibhaus, Gewächshaus",2740
,,,Treibhaus,2741
,,,"Gewächshaus, Treibhaus",2741
,,,"Gewächshaus, verschiebbar",2742
,,,Auf Schienen verschiebbares Gewächshaus,2742
,,,Gebäude für öffentliche Zwecke,3000
,,,Verwaltungsgebäude,3010
,,,Parlament,3011
,,,Rathaus,3012
,,,Post,3013
,,,Zollamt,3014
,,,Gericht,3015
,,,"Botschaft, Konsulat",3016
,,,Kreisverwaltung,3017
,,,Bezirksregierung,3018
,,,Finanzamt,3019
,,,Gebäude für Bildung und Forschung,3020
,,,Allgemein bildende Schule,3021
,,,Berufsbildende Schule,3022
,,,"Hochschulgebäude (Fachhochschule, Universität)",3023
,,,Forschungsinstitut,3024
,,,Gebäude für kulturelle Zwecke,3030
,,,Schloss,3031
,,,"Theater, Oper",3032
,,,Konzertgebäude,3033
,,,Museum,3034
,,,"Rundfunk, Fernsehen",3035
,,,Veranstaltungsgebäude,3036
,,,"Bibliothek, Bücherei",3037
,,,"Burg, Festung",3038
,,,Gebäude für religiöse Zwecke,3040
,,,Kirche,3041
,,,Synagoge,3042
,,,Kapelle,3043
,,,Gemeindehaus,3044
,,,Gotteshaus,3045
,,,Moschee,3046
,,,Tempel,3047
,,,Kloster,3048
,,,Gebäude für Gesundheitswesen,3050
,,,Krankenhaus,3051
,,,"Heilanstalt, Pflegeanstalt, Pflegestation",3052
,,,"Ärztehaus, Poliklinik",3053
,,,Gebäude für soziale Zwecke,3060
,,,Jugendfreizeitheim,3061
,,,"Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus",3062
,,,Seniorenfreizeitstätte,3063
,,,Obdachlosenheim,3064
,,,"Kinderkrippe, Kindergarten, Kindertagesstätte",3065
,,,Asylbewerberheim,3066
,,,Gebäude für Sicherheit und Ordnung,3070
,,,Polizei,3071
,,,Feuerwehr,3072
,,,Kaserne,3073
,,,Schutzbunker,3074
,,,Justizvollzugsanstalt,3075
,,,Friedhofsgebäude,3080
,,,Trauerhalle,3081
,,,Krematorium,3082
,,,Empfangsgebäude,3090
,,,Bahnhofsgebäude,3091
,,,Flughafengebäude,3092
,,,Gebäude zum U-Bahnhof,3094
,,,Gebäude zum S-Bahnhof,3095
,,,Gebäude zum Busbahnhof,3097
,,,Empfangsgebäude Schifffahrt,3098
,,,Gebäude für öffentliche Zwecke mit Wohnen,3100
,,,Gebäude für Erholungszwecke,3200
,,,Gebäude für Sportzwecke,3210
,,,"Sport-, Turnhalle",3211
,,,Gebäude zum Sportplatz,3212
,,,Badegebäude,3220
,,,Hallenbad,3221
,,,Gebäude im Freibad,3222
,,,Gebäude im Stadion,3230
,,,Gebäude für Kurbetrieb,3240
,,,Badegebäude für medizinische Zwecke,3241
,,,Sanatorium,3242
,,,Gebäude im Zoo,3260
,,,Empfangsgebäude des Zoos,3261
,,,"Aquarium, Terrarium, Voliere",3262
,,,Tierschauhaus,3263
,,,Stall im Zoo,3264
,,,Gebäude im botanischen Garten,3270
,,,Empfangsgebäude des botanischen Gartens,3271
,,,Gewächshaus (Botanik),3272
,,,Pflanzenschauhaus,3273
,,,Gebäude für andere Erholungseinrichtung,3280
,,,Schutzhütte,3281
,,,Touristisches Informationszentrum,3290
,,,Nach Quellenlage nicht zu spezifizieren,9998
,,,Nach Quellenlage nicht zu spezifizieren,9998
,,,Wasserturm,1001
,,,Gebäude (allgemein),1001
,,,Kirchturm,1002
,,,Reservierte Hausnummer,1002
,,,Aussichtsturm,1003
,,,Wohn- oder öffentliches Gebäude (allgemein),1003
,,,Kontrollturm,1004
,,,Wirtschafts- oder Industriegebäude (allgemein),1004
,,,Kühlturm,1005
,,,Unterirdisches Gebäude (soweit nicht OS 2363),1005
,,,Leuchtturm,1006
,,,Kleines untergeordnetes Gebäude,1006
,,,Feuerwachturm,1007
,,,"Sende-,Funkturm",1008
,,,"Stadt-,Torturm",1009
,,,Bohrturm,1011
,,,"Schloss-, Burgturm",1012
,,,Sonstiges,9999
,,,Sonstiges,9999
,,,Sonstiges,9999
,,,Sonstiges,9999
,,,Sonstiges,9999
,,,Sonstiges,9999
,,,Biogasanlage,1215
,,,Drehkran,1331
,,,Reihenhaus,1331
,,,Portalkran,1332
,,,Laufkran,1333
,,,Silo,1201
,,,Tank,1205
,,,Gasometer,1206
,,,"Zuschauertribüne, überdacht",1431
,,,Versicherungsgebäude,1431
,,,"Zuschauertribüne, nicht überdacht",1432
,,,Carport,1611
,,,"vorhandenes, nichteingemessenes Gebäude",1036
,,,Öffentliches Gebäude (allg.),1101
,,,Parlament,1111
,,,Rathaus,1112
,,,Postamt,1113
,,,Zollamt,1114
,,,Gericht,1115
,,,"Botschaft, Konsulat",1116
,,,Öffentliche Verwaltung (allgemein),1118
,,,Forschungsinstitut,1124
,,,"Bildungs-, Forschungseinrichtung (allgemein)",1128
,,,"Theater, Oper",1132
,,,Konzertgebäude,1133
,,,Museum,1134
,,,"Rundfunkanstalt, Fernsehanstalt",1135
,,,Veranstaltungsgebäude,1136
,,,"Bibliothek, Bücherei",1137
,,,Kulturelle Einrichtung (allgemein),1138
,,,Christliche Kirche,1141
,,,Synagoge,1142
,,,Kapelle,1143
,,,"Gemeindehaus, Küsterei",1144
,,,Gotteshaus einer anderen Religionsgemeinschaft,1145
,,,Kirchliche Einrichtung (allgemein),1148
,,,Krankenhaus,1151
,,,"Heilanstalt, Pflegeanstalt",1152
,,,Gesundheitseinrichtung (allgemein),1158
,,,Jugendfreizeitheim,1161
,,,"Freizeitheim, Dorfgemeinschaftshaus, Bürgerhaus",1162
,,,Seniorenfreizeitstätte,1163
,,,Fremdenheim,1164
,,,"Kindergarten, Kindertagesstätte",1165
,,,Sozialeinrichtung (allgemein),1168
,,,Polizei,1171
,,,Feuerwehr,1172
,,,Kaserne,1173
,,,Schutzbunker,1174
,,,Justizvollzugsanstalt,1175
,,,Sicherheitseinrichtung (allgemein),1178
,,,Trauerhalle,1181
,,,Krematorium,1182
,,,Friedhofsgebäude (allgemein),1188
,,,Bahnhofsgebäude,1191
,,,Flughafengebäude,1192
,,,U-Bahnhof,1194
,,,S-Bahnhof,1195
,,,Kontrollturm,1196
,,,Omnibusbahnhof,1197
,,,Empfangsgebäude für Verkehrsteilnehmer (allgemein),1198
,,,Wohnhaus in Reihe,1211
,,AB,Wohnblock in geschlossener Bauweise,1231
,,,Wohnhaus (allgemein),1301
,,,Doppelhaus,1321
,,,Gruppenhaus,1341
,,,Hochhaus,1361
,,,Kinderheim,1371
,,,"Seniorenwohnhaus, Seniorenheim",1372
,,,"Arbeitnehmerwohnheim, Schwesternwohnheim",1373
,,,"Studentenwohnheim, Schülerwohnheim",1374
,,,Schullandheim,1375
,,,Wohnheim (allgemein),1378
,,,Behelfsmäßiges Wohngebäude,1381
,,,Wohngebäude (soweit nicht OS 1311 - 1398),1399
,,,Gebäude für Handel und Dienstleistungen (allgemein),1401
,,,"Verwaltungsgebäude, Bürogebäude",1411
,,,"Kreditinstitutsgebäude, Bankgebäude",1421
,,,Kaufhaus,1441
,,,Einkaufszentrum,1442
,,,Markthalle,1443
,,,Ladengebäude,1444
,,,Kiosk,1445
,,,Handel (allgemein),1448
,,,"Gebäude für Messe, Ausstellung",1451
,,,"Hotel, Pension",1461
,,,Jugendherberge,1462
,,,Hütte mit Übernachtungsmöglichkeit,1463
,,,Beherbergung (allgemein),1468
,,,Gaststätte,1471
,,,Raststätte an Autobahn oder Fernstraße,1472
,,,Hütte ohne Übernachtungsmöglichkeit,1473
,,,Kantine,1474
,,,Restauration (allgemein),1478
,,,Festsaal,1481
,,,Kino,1482
,,,"Kegelhalle, Bowlinghalle",1483
,,,Spielkasino,1484
,,,Vergnügungsstätte (allgemein),1488
,,,Gebäude für Gewerbe und Industrie (allgemein),1701
,,,Fabrik,1711
,,,Werkstatt,1721
,,,Tankstelle,1731
,,,Kühlhaus,1741
,,,"Speicher (soweit nicht OS 2725, 3931)",1742
,,,Lagerhalle,1743
,,,Lagerung (allgemein),1748
,,,Transportgebäude,1751
,,,Forschungsgebäude,1761
,,,"Bergwerk, in Betrieb",1771
,,,"Bergwerk, außer Betrieb",1772
,,,"Bergwerk, vorübergehend stillgelegt",1773
