geometry,index_right,blknr,bez,bezname,plr,blktypname,ewk,area,datum
"POLYGON ((385110.926 5820600.792, 385111.078 5820603.624, 385112.919 5820603.526, 385113.844 5820603.477, 385115.577 5820600.545, 385110.926 5820600.792))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385122.922 5820602.99, 385124.942 5820600.047, 385115.577 5820600.545, 385117.704 5820603.269, 385122.922 5820602.99))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385151.918 5820599.923, 385151.901 5820598.615, 385148.268 5820598.808, 385148.337 5820600.114, 385151.918 5820599.923))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385168.637 5820597.726, 385166.2 5820597.855, 385166.288 5820599.359, 385168.725 5820599.215, 385168.637 5820597.726))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385137.076 5820713.727, 385137.244 5820717.282, 385137.728 5820727.437, 385139.387 5820727.36, 385162.805 5820726.271, 385162.331 5820716.299, 385162.152 5820712.535, 385137.076 5820713.727))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385158.768 5820680.249, 385157.634 5820656.148, 385157.359 5820650.308, 385131.045 5820651.546, 385131.267 5820656.266, 385127.561 5820656.441, 385127.869 5820662.835, 385131.567 5820662.659, 385132.76 5820688.005, 385153.36 5820687.035, 385153.316 5820686.114, 385159.031 5820685.845, 385158.768 5820680.249))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385165.281 5820649.936, 385157.359 5820650.308, 385157.633 5820656.148, 385165.561 5820655.775, 385165.281 5820649.936))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385168.725 5820599.215, 385168.638 5820597.738, 385166.201 5820597.87, 385166.288 5820599.359, 385168.725 5820599.215))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385158.674 5820650.246, 385157.359 5820650.308, 385157.634 5820656.148, 385158.767 5820680.249, 385159.995 5820678.315, 385158.949 5820656.086, 385158.674 5820650.246))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385192.605 5820639.224, 385190.871 5820608.293, 385186.705 5820608.526, 385186.905 5820612.096, 385188.438 5820639.458, 385192.605 5820639.224))",38,020672,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,13669.580078125,1995/08/02 00:00:00.000
"POLYGON ((385053.214 5821518.145, 385026.978 5821512.313, 385026.83 5821512.988, 385025.143 5821520.691, 385070.107 5821530.707, 385071.972 5821522.32, 385059.851 5821519.62, 385053.214 5821518.145))",4,019708,04,Charlottenburg-Wilmersdorf,04300518,Block,10-99 Einwohner,16879.630859375,2006/03/10 00:00:00.000
"POLYGON ((385014.179 5821498.35, 385009.343 5821497.277, 385007.574 5821505.182, 385012.425 5821506.258, 385014.179 5821498.35))",4,019708,04,Charlottenburg-Wilmersdorf,04300518,Block,10-99 Einwohner,16879.630859375,2006/03/10 00:00:00.000
"POLYGON ((384883.768 5821459.561, 384871.362 5821457.369, 384869.104 5821469.801, 384881.49 5821472.079, 384883.768 5821459.561))",4,019708,04,Charlottenburg-Wilmersdorf,04300518,Block,10-99 Einwohner,16879.630859375,2006/03/10 00:00:00.000
"POLYGON ((384744.918 5821457.033, 384748.556 5821457.709, 384753.224 5821432.422, 384749.582 5821431.751, 384744.918 5821457.033))",4,019708,04,Charlottenburg-Wilmersdorf,04300518,Block,10-99 Einwohner,16879.630859375,2006/03/10 00:00:00.000
"POLYGON ((384975.531 5821489.612, 384970.096 5821488.532, 384969.681 5821490.622, 384965.004 5821489.693, 384963.602 5821496.752, 384962.476 5821502.42, 384977.584 5821505.421, 384977.643 5821505.126, 384978.432 5821501.153, 384978.71 5821499.753, 384980.113 5821492.694, 384975.115 5821491.701, 384975.531 5821489.612))",4,019708,04,Charlottenburg-Wilmersdorf,04300518,Block,10-99 Einwohner,16879.630859375,2006/03/10 00:00:00.000
"POLYGON ((384978.432 5821501.153, 384977.643 5821505.126, 384980.303 5821505.655, 384981.092 5821501.681, 384978.432 5821501.153))",4,019708,04,Charlottenburg-Wilmersdorf,04300518,Block,10-99 Einwohner,16879.630859375,2006/03/10 00:00:00.000
"POLYGON ((384756.041 5821460.819, 384757.117 5821455.004, 384759.579 5821441.765, 384761.029 5821433.861, 384753.224 5821432.422, 384748.556 5821457.709, 384748.287 5821459.164, 384756.041 5821460.819))",4,019708,04,Charlottenburg-Wilmersdorf,04300518,Block,10-99 Einwohner,16879.630859375,2006/03/10 00:00:00.000
"POLYGON ((384755.172 5820485.778, 384754.653 5820479.095, 384750.177 5820479.526, 384750.818 5820486.197, 384755.172 5820485.778))",33,020055,04,Charlottenburg-Wilmersdorf,04300518,Block,100-999 Einwohner,77514.32812500001,1994/11/24 00:00:00.000
